Date,total_percentage,close,open,high,low,volume
2023-10-09,260.8799574750107,33604.6484375,33259.83984375,33631.80859375,33253.69140625,228760000
2023-10-10,281.62448198798796,33739.30078125,33683.41015625,33898.21875,33604.3203125,255640000
2023-10-11,317.8148093465975,33804.87109375,33822.19921875,33882.55078125,33612.25,256560000
2023-10-12,275.2752970506769,33631.140625,33845.6484375,33863.80078125,33455.6015625,289160000
2023-10-13,262.6674628463269,33670.2890625,33733.33984375,33957.71875,33551.578125,306340000
2023-10-16,340.99318374365225,33984.5390625,33832.421875,34088.98046875,33832.421875,270060000
2023-10-17,370.5945493810094,33997.6484375,33869.83984375,34147.62890625,33854.69921875,281010000
2023-10-18,305.7582827139731,33665.078125,33960.25,33991.51171875,33598.640625,285410000
2023-10-19,240.93188180810623,33414.171875,33669.51953125,33852.390625,33368.578125,304320000
2023-10-20,194.37476515453528,33127.28125,33365.26953125,33425.76953125,33118.12109375,325530000
2023-10-23,176.50013779435997,32936.41015625,32993.01953125,33234.8515625,32892.19140625,342500000
2023-10-24,198.24531045497048,33141.37890625,33089.640625,33272.19140625,32988.4296875,359230000
2023-10-25,153.4578377449111,33035.9296875,33203.53125,33267.91015625,32989.71875,355690000
2023-10-26,167.0213124631149,32784.30078125,33017.171875,33105.03125,32743.990234375,379880000
2023-10-27,116.70429634891973,32417.58984375,32782.3984375,32787.55859375,32327.19921875,376970000
2023-10-30,144.96124861600484,32928.9609375,32537.5390625,33002.96875,32537.5390625,298640000
2023-10-31,192.8028310046267,33052.87109375,33029.109375,33070.28125,32787.12109375,306950000
2023-11-01,252.48918376116916,33274.578125,33081.87109375,33337.1484375,33010.8515625,307570000
2023-11-02,394.48620018848607,33839.078125,33457.8203125,33852.9609375,33450.03125,304350000
2023-11-03,497.500226859533,34061.3203125,33988.828125,34163.62890625,33946.6015625,311000000
2023-11-06,460.8346446559547,34095.859375,34092.609375,34167.26171875,33989.71875,265570000
2023-11-07,446.2915660176624,34152.6015625,34075.6484375,34206.98046875,34026.71875,281790000
2023-11-08,419.2865893742525,34112.26953125,34185.921875,34252.75,33996.19921875,280330000
2023-11-09,377.53809313569434,33891.94140625,34163.7109375,34167.5390625,33859.76953125,325400000
2023-11-10,439.9366254500343,34283.1015625,34020.8203125,34310.359375,33905.62109375,302460000
2023-11-13,422.1830771271688,34337.87109375,34259.25,34405.83984375,34205.80859375,245090000
2023-11-14,647.7128316965376,34827.69921875,34581.19921875,34931.01171875,34581.19921875,328050000
2023-11-15,679.7098770757367,34991.2109375,34906.71875,35051.1015625,34868.48046875,347790000
2023-11-16,654.4166621926579,34945.46875,34868.03125,35022.4609375,34818.03125,435540000
2023-11-17,683.1647365783899,34947.28125,34964.8203125,35028.21875,34882.8203125,334820000
2023-11-20,687.3608350943548,35151.0390625,34932.48828125,35227.48046875,34907.98046875,331050000
2023-11-21,692.5431033451885,35088.2890625,35104.83984375,35118.0390625,35038.44140625,271120000
2023-11-22,726.9719000800374,35273.03125,35189.328125,35315.19921875,35155.80078125,237290000
2023-11-24,750.378606542611,35390.1484375,35299.8984375,35399.44140625,35299.8984375,117040000
2023-11-27,750.0169308574074,35333.46875,35376.44140625,35410.37109375,35280.5703125,258340000
2023-11-28,758.6735423848733,35416.98046875,35332.12890625,35518.671875,35307.73046875,256210000
2023-11-29,750.428031711268,35430.421875,35436.80078125,35579.12890625,35405.890625,299330000
2023-11-30,789.9412061949798,35950.890625,35596.5703125,35970.69921875,35592.21875,435540000
2023-12-01,846.4764323774257,36245.5,35914.44921875,36264.8515625,35914.44921875,321840000
2023-12-04,856.2251204338257,36204.44140625,36089.37890625,36238.1796875,36029.69140625,329450000
2023-12-05,819.1250477927562,36124.55859375,36135.6484375,36164.6796875,36010.8515625,309250000
2023-12-06,827.4862242588475,36054.4296875,36183.73046875,36292.578125,36024.25,283240000
2023-12-07,840.5457862618041,36117.37890625,36124.171875,36164.171875,36021.94921875,287280000
